"Company_name","Company_Country","Company_Country_url","Company_Acquired_on","Company_Acquired_for","Company_Used_as"
"Bookpages","United Kingdom","https://en.wikipedia.org/wiki/United_Kingdom","April 27, 1998","55,000,000","Amazon UK"
"Telebook","Germany","https://en.wikipedia.org/wiki/Germany","April 27, 1998","55,000,000
stock payment","Amazon Germany"
"IMDb","United Kingdom","https://en.wikipedia.org/wiki/United_Kingdom","April 27, 1998","55,000,000","IMDb"
"Junglee","United States","https://en.wikipedia.org/wiki/United_States","August 4, 1998","250,000,000",""
"PlanetAll","United States","https://en.wikipedia.org/wiki/United_States","August 4, 1998","280,000,000",""
"LiveBid.com","United States","https://en.wikipedia.org/wiki/United_States","April 12, 1999","300,000,000",""
"Accept.com","United States","https://en.wikipedia.org/wiki/United_States","April 27, 1999","101,700,000",""
"Alexa Internet","United States","https://en.wikipedia.org/wiki/United_States","April 27, 1999","250,000,000","Alexa Internet"
"e-Niche Incorporated","United States","https://en.wikipedia.org/wiki/United_States","April 27, 1999","—",""
"Convergence Corporation","United States","https://en.wikipedia.org/wiki/United_States","October 4, 1999","23,000,000",""
"Tool Crib of the North (Online and Catalog Sales Division)","United States","https://en.wikipedia.org/wiki/United_States","November 9, 1999","—",""
"Back to Basics Toys","United States","https://en.wikipedia.org/wiki/United_States","November 30, 1999","—",""
"Leep Technology Inc.","United States","https://en.wikipedia.org/wiki/United_States","December 31, 1999","—",""
"MindCorps Incorporated","United States","https://en.wikipedia.org/wiki/United_States","1999","—",""
"Egghead Software","United States","https://en.wikipedia.org/wiki/United_States","December 5, 2001","6,100,000",""
"OurHouse.com","United States","https://en.wikipedia.org/wiki/United_States","December 2001","—",""
"Joyo.com","China","https://en.wikipedia.org/wiki/China","August 19, 2004","75,000,000","Amazon China"
"BookSurge","United States","https://en.wikipedia.org/wiki/United_States","April 4, 2005","—","CreateSpace"
"Mobipocket","France","https://en.wikipedia.org/wiki/France","April 21, 2005","—","Mobipocket"
"CustomFlix","United States","https://en.wikipedia.org/wiki/United_States","July 6, 2005","—","CreateSpace"
"smallparts.com","United States","https://en.wikipedia.org/wiki/United_States","2005","—","Amazon Business"
"Shopbop","United States","https://en.wikipedia.org/wiki/United_States","February 27, 2006","—","Shopbop"
"TextPayMe","United States","https://en.wikipedia.org/wiki/United_States","October 1, 2006","3,000,000","Amazon Payments"
"Digital Photography Review","United Kingdom","https://en.wikipedia.org/wiki/United_Kingdom","May 14, 2007","—","Digital Photography Review"
"Brilliance Audio","United States","https://en.wikipedia.org/wiki/United_States","May 23, 2007","—","Brilliance Audio"
"Withoutabox","United States","https://en.wikipedia.org/wiki/United_States","January 16, 2008","—",""
"Audible","United States","https://en.wikipedia.org/wiki/United_States","January 28, 2008","300,000,000","Audible"
"Fabric.com","United States","https://en.wikipedia.org/wiki/United_States","June 25, 2008","—","Fabric.com"
"AbeBooks","Canada","https://en.wikipedia.org/wiki/Canada","August 1, 2008","—","AbeBooks"
"Shelfari","United States","https://en.wikipedia.org/wiki/United_States","August 26, 2008","—","Goodreads"
"Reflexive Entertainment","United States","https://en.wikipedia.org/wiki/United_States","October 21, 2008","—","Reflexive Entertainment"
"Box Office Mojo","United States","https://en.wikipedia.org/wiki/United_States","December 17, 2008","—","Box Office Mojo"
"Lexcycle","United States","https://en.wikipedia.org/wiki/United_States","April 27, 2009","—","Amazon Kindle"
"SnapTell","United States","https://en.wikipedia.org/wiki/United_States","June 18, 2009","—",""
"Zappos","United States","https://en.wikipedia.org/wiki/United_States","November 2, 2009","1,200,000,000","Zappos"
"Touchco","United States","https://en.wikipedia.org/wiki/United_States","February 3, 2010","—","Amazon Kindle"
"Woot","United States","https://en.wikipedia.org/wiki/United_States","July 2, 2010","110,000,000","Woot"
"Amie Street","United States","https://en.wikipedia.org/wiki/United_States","September 8, 2010","—","Songza"
"BuyVIP","Spain","https://en.wikipedia.org/wiki/Spain","October 4, 2010","100,000,000","BuyVIP"
"Quidsi","United States","https://en.wikipedia.org/wiki/United_States","November 8, 2010","545,000,000","Amazon Prime Now - Amazon Fresh"
"Toby Press","United States","https://en.wikipedia.org/wiki/United_States","November 18, 2010","—",""
"LoveFilm","United Kingdom","https://en.wikipedia.org/wiki/United_Kingdom","January 20, 2011","312,000,000","Amazon Prime Video"
"The Book Depository","United Kingdom","https://en.wikipedia.org/wiki/United_Kingdom","July 4, 2011","—","Book Depository"
"Pushbutton","United Kingdom","https://en.wikipedia.org/wiki/United_Kingdom","July 28, 2011","—",""
"Yap","United States","https://en.wikipedia.org/wiki/United_States","September 2011","—","Amazon Echo"
"Double Helix Games","United States","https://en.wikipedia.org/wiki/United_States","September 5, 2011","—","Double Helix Games"
"Teachstreet","United States","https://en.wikipedia.org/wiki/United_States","February 2, 2012","—",""
"Kiva Systems","United States","https://en.wikipedia.org/wiki/United_States","March 19, 2012","775,000,000","Amazon Robotics"
"Evi","United Kingdom","https://en.wikipedia.org/wiki/United_Kingdom","April 17, 2012","26,000,000","Amazon Echo"
"Avalon Books","United States","https://en.wikipedia.org/wiki/United_States","April 17, 2012","—","Amazon Publishing"
"UpNext","United States","https://en.wikipedia.org/wiki/United_States","July 2, 2012","—","UpNext"
"IVONA Software","Poland","https://en.wikipedia.org/wiki/Poland","January 24, 2013","—","Amazon Echo, Amazon Polly"
