Series Code,Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
MS.MIL.XPND.GD.ZS,Albania,ALB,5.88830072,5.791270422,4.670887824,3.199451067,2.54781906,2.053587359,1.379029627,1.28308078,1.238242561,1.249210099,1.246360242,1.309291375,1.320034494,1.336842924,1.381157942,1.350004971,1.567769089,1.820765344,1.984868857,1.51721714,1.558591893,1.528266338,1.487082577,1.408982101,1.346515991,1.162303864,1.103581009,1.108696386,1.160544785,1.299676337,1.25826801,1.415635927,NA
MS.MIL.XPND.GD.ZS,Belgium,BEL,2.355440459,2.287692847,1.83233253,1.735965893,1.67714315,1.565752151,1.540102651,1.476975796,1.463919265,1.385835559,1.341210276,1.276504166,1.215712208,1.214988156,1.149272139,1.091560058,1.051239186,1.094535301,1.213898317,1.160039922,1.084632861,1.043506795,1.04175649,1.008959479,0.9709597911,0.9092842021,0.8947062362,0.883680595,0.8913995497,0.8893871872,1.045102693,1.081807781,NA
MS.MIL.XPND.GD.ZS,Bulgaria,BGR,3.83344349,3.043231573,2.972633843,2.609271612,2.492617286,2.374131284,2.402934109,2.430701355,2.453059147,2.645171956,2.671170465,2.884461387,2.80125965,2.712020749,2.391993484,2.252898222,2.096991297,2.229611261,2.133524802,1.739511524,1.652468225,1.320717319,1.33635532,1.459340112,1.313704521,1.248848117,1.246707289,1.226243678,1.451568367,3.148475544,1.54445133,1.594889007,NA
MS.MIL.XPND.GD.ZS,Canada,CAN,1.958793742,1.895444339,1.8616877,1.821753504,1.696680257,1.554090071,1.403752581,1.246243202,1.256293902,1.241703064,1.11808088,1.137368973,1.120852292,1.115878799,1.107966027,1.110669655,1.125832408,1.188901783,1.248621382,1.377555631,1.194338338,1.193291895,1.118404598,1.0023672,0.9899252994,1.152709374,1.164161567,1.351602232,1.324681094,1.286097099,1.415945358,1.315152952,NA
MS.MIL.XPND.GD.ZS,Croatia,HRV,NA,NA,7.607386443,10.72675715,11.14817729,9.31501043,8.292011147,8.942492529,6.600219472,4.42962971,3.030055777,2.702773773,2.730633337,2.046298882,1.760143749,1.762328437,1.68580508,1.628430615,1.845187915,1.789834471,1.681190601,1.751568237,1.670363109,1.625008539,1.823186114,1.760579685,1.600358132,1.643593395,1.552490005,1.609302367,1.770851794,2.735568587,NA
MS.MIL.XPND.GD.ZS,Czechia,CZE,NA,NA,NA,2.330404066,2.283400858,1.843622773,1.731904688,1.662045791,1.82593182,1.859069923,1.877356956,1.751249558,1.824406968,1.892764044,1.713703173,1.790083772,1.575906158,1.430914735,1.232471567,1.310564143,1.194772181,1.077836499,1.063216817,1.01508372,0.9662278181,0.9465820956,0.9961281026,0.9566554217,1.088670001,1.152521403,1.32581911,1.434091362,NA
MS.MIL.XPND.GD.ZS,Denmark,DNK,1.950757035,1.95468015,1.889377285,1.90719767,1.770109883,1.685314665,1.644816658,1.615961205,1.608026388,1.564854723,1.457444051,1.53238072,1.508149852,1.46685125,1.423704234,1.31148864,1.377492183,1.307247052,1.355004524,1.350178625,1.398621787,1.313531285,1.351818973,1.227252,1.149273286,1.111446012,1.147637617,1.138233254,1.277539272,1.310977186,1.398203111,1.371591469,NA
MS.MIL.XPND.GD.ZS,Estonia,EST,NA,NA,NA,0.7617519609,1.041630274,0.958098327,0.8735960738,1.046772487,1.067491718,1.287113364,1.376327115,1.502214462,1.667129501,1.743049295,1.699689225,1.450919932,1.388422436,1.657582134,1.765049691,1.78893839,1.686470067,1.664010243,1.88357958,1.896666618,1.912785931,2.011335173,2.051844371,2.007733521,2.008665863,2.024018821,2.363767566,2.155515046,NA
MS.MIL.XPND.GD.ZS,France,FRA,2.805267627,2.812136438,2.690660711,2.689534806,2.66037496,2.492496189,2.414473951,2.375409653,2.226208307,2.17784297,2.085018245,2.03069529,2.04625799,2.095680413,2.104350835,2.023706919,1.9750983,1.907528634,1.897075896,2.098147335,1.969419353,1.891406214,1.8710806,1.849875918,1.862961439,1.872258281,1.917282368,1.908642012,1.843008723,1.836461471,2.009457805,1.945382262,NA
MS.MIL.XPND.GD.ZS,Germany,DEU,2.518432707,1.997834988,1.860479941,1.693538323,1.550276433,1.495022014,1.46585846,1.409301733,1.390894786,1.395074355,1.358883033,1.323438303,1.327958121,1.316924865,1.268957396,1.065629701,1.199302958,1.172471765,1.209034004,1.310604073,1.266826626,1.206150336,1.241677479,1.185257901,1.149941997,1.137338427,1.149654485,1.154049407,1.167832867,1.260267753,1.386226229,1.337384336,NA
