Series Code,Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
MS.MIL.XPND.ZS,Albania,ALB,NA,NA,NA,NA,NA,NA,NA,4.424699425,3.582513769,3.578827146,3.843840657,4.14741289,4.269752801,4.612929526,4.663211038,4.734375202,5.428988625,6.226081057,6.256197865,4.642727214,5.303741525,5.283864502,5.267900096,4.826485536,4.243784983,3.778892513,3.78723434,3.8051811,4.029426801,4.457658629,3.795233069,4.185888251,NA
MS.MIL.XPND.ZS,Belgium,BEL,4.279596445,4.062619994,3.237303967,3.005444544,3.030957257,2.934068512,2.863815489,2.825233483,2.781414496,2.760424329,2.734630387,2.599308955,2.452260127,2.392281166,2.34513758,2.114533061,2.164663166,2.26102798,2.406508435,2.135610755,2.02398111,1.902590813,1.844549798,1.797977049,1.746337066,1.692643768,1.684387462,1.698126244,1.706356967,1.714100306,1.764799367,1.91103329,NA
MS.MIL.XPND.ZS,Bulgaria,BGR,NA,NA,NA,NA,NA,NA,NA,NA,6.964682638,7.244616234,7.143541128,7.847474122,7.925349402,7.524994276,6.858345021,6.567929009,6.405326293,6.72976315,6.372850753,5.1509266,4.753255787,4.112178374,4.089454491,4.099400171,3.531824883,3.337620002,3.800916579,3.815981513,4.222104426,8.736244643,4.045303892,3.901266166,NA
MS.MIL.XPND.ZS,Canada,CAN,3.981908637,3.59879493,3.456985014,3.444890848,3.369516493,3.172712868,2.978952707,2.790856969,2.815580948,2.897315014,2.747572426,2.757412336,2.764948287,2.760815105,2.821511514,2.874060682,2.903522128,3.078451539,3.212136823,3.172574511,2.773406684,2.870198259,2.732734781,2.508379903,2.579913567,2.880447132,2.856611559,3.341695487,3.230879748,3.14021275,2.680355947,2.735723076,NA
MS.MIL.XPND.ZS,Croatia,HRV,NA,NA,19.89371981,28.9576412,23.85323121,21.14459486,18.16225908,16.87064775,11.41340136,8.683773176,6.415816926,5.909024409,5.393897507,4.086585963,3.598159434,3.752456571,3.621729794,3.569797006,4.023224946,3.690317872,3.498947553,3.623771964,3.499492818,3.415969515,3.785631568,3.666287347,3.420302039,3.676735635,3.416859057,3.496308164,3.253090436,5.04380373,NA
MS.MIL.XPND.ZS,Czechia,CZE,NA,NA,NA,NA,NA,3.367353987,4.016530166,3.812318607,4.167724935,4.494557553,4.582790874,4.026576164,4.07109168,3.835563792,4.026963464,4.198327421,3.781515533,3.520664091,3.015693656,2.954555043,2.73841922,2.495705138,2.379887504,2.380022593,2.266966481,2.257307132,2.505918274,2.454215801,2.681265189,2.806962495,2.812311078,3.013504654,NA
MS.MIL.XPND.ZS,Denmark,DNK,3.488035733,3.465595484,3.29377876,3.158768534,2.936257422,2.87960014,2.835966829,2.890419681,2.902823674,2.869541328,2.766243222,2.900180632,2.834105742,2.734654791,2.686367446,2.559426688,2.764396981,2.636034502,2.687926355,2.38816149,2.467870332,2.327745937,2.332535395,2.198573462,2.081348942,2.038316716,2.186866326,2.251718716,2.527363603,2.647535942,2.601044826,2.560620229,NA
MS.MIL.XPND.ZS,Estonia,EST,NA,NA,NA,NA,NA,2.352473498,2.241912799,2.872405372,2.715365239,3.148249204,3.784759358,4.289807614,4.618674269,4.954308094,4.954954955,4.300209639,4.149819824,4.912753161,4.47946957,3.923465091,4.222022664,4.486460503,4.835039818,4.96834572,5.098401796,5.125689761,5.25210084,5.123542625,5.119889937,5.198720877,5.149583129,4.846575137,NA
MS.MIL.XPND.ZS,France,FRA,5.622724773,5.511945174,5.142676023,4.898759129,4.896963771,4.572606792,4.422954445,4.379563304,4.227793239,4.159166823,4.036642476,3.92645352,3.875838638,3.93403525,3.971608164,3.797244533,3.735360197,3.628858983,3.559488328,3.671180073,3.462302302,3.360069663,3.276431365,3.232476943,3.256151266,3.296370272,3.382294504,3.377921154,3.312110004,3.317798638,3.252439945,3.207239551,NA
MS.MIL.XPND.ZS,Germany,DEU,NA,4.28314904,3.916371898,3.506704286,3.212516787,2.718562841,2.973806427,2.910476815,2.894418078,2.901207485,2.855336154,2.800498365,2.788099485,2.736806659,2.721649058,2.275975098,2.651254799,2.701689056,2.735401622,2.719076812,2.631457607,2.666207888,2.764321268,2.637165623,2.595628711,2.576597651,2.5920133,2.60660284,2.634688739,2.801149678,2.726543705,2.515903658,NA
MS.MIL.XPND.ZS,Greece,GRC,8.591844997,8.623751217,8.565759446,8.117594319,8.448840517,6.638230279,7.015456816,7.3100367,7.398161082,7.28097621,7.464308044,7.070426359,6.719609939,5.352648311,5.472424298,6.225847672,6.169372889,5.692243079,5.866906153,5.962605765,5.193276603,4.575956596,4.550765611,4.552817684,4.636815588,4.81475735,5.150325897,5.285862483,5.60109321,5.577085473,4.621093944,6.53186872,NA
MS.MIL.XPND.ZS,Hungary,HUN,NA,NA,NA,NA,NA,2.392205403,2.467860359,2.978356057,2.505704446,2.943909604,3.214849677,3.333506824,3.137374267,3.356333438,3.040798314,2.862184203,2.379132125,2.551276389,2.439159108,2.245520802,2.093685952,2.113896893,2.089954331,1.884475984,1.714048468,1.79580673,2.141194369,2.208022948,2.433307391,2.743450204,3.462026199,3.209910913,NA
MS.MIL.XPND.ZS,Iceland,ISL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MS.MIL.XPND.ZS,Italy,ITA,3.290179358,3.17938658,3.003952645,3.010930157,3.030154634,2.834242853,3.076880027,3.279301812,3.405309659,3.555414674,3.734576042,3.53321887,3.64144216,3.61236604,3.579569416,3.388882543,3.183152469,3.093073155,3.210450732,3.040858401,3.005330178,3.001472681,2.820564055,2.745788412,2.522775412,2.401226998,2.719801986,2.783633036,2.809112036,2.705296997,2.681482194,2.641425592,NA
MS.MIL.XPND.ZS,Latvia,LVA,NA,NA,NA,NA,NA,NA,NA,NA,1.587443946,1.910750507,2.434502217,3.03160359,4.501216545,4.885641677,4.766153014,4.667519182,5.063881215,4.707140947,4.46388515,3.248510427,2.53951801,2.685525815,2.445618778,2.515308526,2.496080627,2.774270788,4.014184397,4.367255738,5.41539016,5.359465788,5.220947951,4.761256045,NA
MS.MIL.XPND.ZS,Lithuania,LTU,NA,NA,NA,2.195881944,1.354801534,1.373828009,1.571160717,2.291832467,3.339027623,2.458046719,3.392087641,3.887419312,3.833070971,3.49657246,3.602788833,3.477090479,3.450268274,3.229419539,3.051891872,2.477178622,2.1326565,1.907596609,2.17708236,2.202696746,2.585934586,3.307386939,4.437065637,5.283983063,5.931473259,5.914759656,4.932950192,4.802014191,NA
MS.MIL.XPND.ZS,Luxembourg,LUX,NA,NA,NA,NA,NA,1.476073371,1.465708867,1.489876218,1.530705335,1.444117898,1.438645875,1.775552863,1.409881975,1.398970685,1.386873326,1.345971315,1.321694899,1.341533372,0.9621721365,0.8696695256,1.051093249,0.9078060448,0.8583911591,0.8693075175,0.90329942,1.029512697,0.9463301937,1.199550169,1.183734466,1.283625405,1.161349253,1.256703496,NA
MS.MIL.XPND.ZS,Montenegro,MNE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.056277056,5.384615385,3.977947413,3.663303909,3.591411841,3.888888889,3.863328823,3.624484182,3.168851395,3.329627207,3.026489676,2.969930814,2.893185185,2.902363636,3.034588884,3.2,3.753375338,NA
